Replies_subject,relation,Replies_object
answer291,have also attached images after,10 prints
answer291,have also attached,images
bubbles,normally take,more
bubbles,are,once large enough
bubbles,pop off,your print
mount,was for,taz 5 with hexagon extruder
? mon jun 04 2018 7:15,am,fan angle
issues,is with,older budaschnozzles
fan,provide,better cooling
go,is in,support
answer292,left in,hurry
duct,printed,report
duct,printed,tonight
user293,retracting,2 mm of filament
user293,set,m83
g1 e-2.0,will move filament in,m82
user293,are in,absolute extruder mode
m83,absolute or relative mode of,e
user293,could also set,value
answer294,called,lulzbot support
user294,could call,them
heat,creeps up into,end
user294,can try,cold pull
answer294,'m,very happy
answer294,'m very happy with,results
answer294,use esun cleaning filament for,this
answer294,use,esun cleaning filament
mosfet,is,okay
controller,supplying,voltage
measure,voltage to,open positive connector
ground connector,is,good
multimeter,reads,10mv
answer295,'m,perplexed
power electronics,were having,trouble
answer296,checked,real quick
answer296,'m,unable
amazon,winging,stuff
amazon,winging stuff to,me
filament,answer,your question
answer296,was using,spool of inland green
answer296,kind,assumed
microcenter,is in,boston
green,seemed like,color
theory,be,further reinforced
zero issues,is with,entire spool
answer296,checked diameter,recommended
answer296,checked,diameter
my idler,is,loose
answer296,'ll try,alignment steps
my filament,sawing through,idler arm
answer296,did,notice
answer296,print,clip
something,print,new parts
answer296,'ve got,prusa mk3
answer296,proceed with,troubleshooting
answer296,really appreciate so far,help
build surface,was at,75 deg c
answer297,checked,build plate temperature
supports,be,modified
answer297,was having,same issue
answer297,was having issue with,my taz5
my taz5,is with,heater plate sagging in middle
answer297,support,center of heat bed
user297,print/use bed corners in,taz 5 modular bed instructions
user297,print/use,bed corners
link,https://www.lulzbot.com/store/parts/lul,nt-kit-5pk
fumes,can make,you ill
piece,is in,methanol/isopropanol
user298,can see,your face
answer298,got,it 98 % perfect
answer298,replaced,works fine
extruders,produce,objects
answer299,print,abs
answer299,print abs from,extruder
learning curve,is with,filament path
answer299,find,that
extruder,do,work
filament,use,gears
first layer,is,really personal preference
layer,is,personal
most,would consider,that
print,difficult,remove from print bed
flow rate,create,flat surface
flow rate,can,with slicers can controlled
answer300,adjust,my z
answer300,use,1.25
bed,has cooled below,60c
print removal,is optimal with,taz
print removal,is,optimal
50c,is,ideal
user301,handle,hardware
user301,put,relay
user301,may have,go
user301,go to,nema 23 motor size
user301,change,motor firmware
user301,are using,auto leveling
answer302,fixed,issue
my x axis motor cable,broken,most of motor wires
answer303,well found about,about month
my x axis motor cable,hitting,z homing button body
idler arm springs,have,about 8 mm space between washers
bearing,is in,idler spin
lace,is with,6082rs bearing
central,cooling,fan
thermistor,has,good contact
thermistor,be,replaced
new print,carefully and safely try,gear
none,be,issue
two magnetic coil driver pairs,is in,stepper
hotend,is,aligned
briefly,tightening in,place
hotend,is aligned to,cold end properly
user304,actually have,nozzle blockage
answer305,had,feel
answer305,had feel at,one point with my taz
wobbly feel,is in,original tool head
hot end sits.this,seemed,help
screw,sits about,3/4 up from bottom of hole
your nozzle,is,your leveling sensor in taz 6
non conductive olsen ruby,tipped,ones
? thu may 10,am thank,you
answer307,have attached,my s3d fff used for print
thanks,again appreciate,suggestions
answer307,see,couple things
user307,second opinion on,these
user307,telling program to,to extrude
user307,telling,program
1.00 should be extruding,is telling,extruder
that,could cause,gapping
answer307,would expect,see
its,might explain,0.1 mm gap
your first layer percentage,is set to,exactly 100 %
elephant,to,foot syndrome on parts
your first layer height,is,set
taz,printing,abs
taz,has,pei bed surface
answer307,typically would have,first layer of 0.4 omm for subsequent 0.25 mm layers with my prints
answer307,would generally run,part like that
fan speeds,might need,playing with
pla,can,can tricky in white pla
user307,measure,your filament with calipers
user307,adjust,match
answer307,'d suspect,based off 0.92 extrusion multiplier
user307,probably have filament actually in,2.93 range
user307,have actually,filament
nothing,jumps out at,me
speeds,be,little
your speeds,might,might little low
answer308,'m thinking,its thermistor
user308,should call in under,warranty
user309,can use,program like meshmixer
user309,cut mesh into,parts
user309,cut,mesh
user309,glue all together,them
normal head,is,good enough
normal head,is good enough for,my needs
your right,was,better
xyz fast print item,is with,taz6
tradeoff,is with,quality
taz6,needs,more time
answer311,hear,ya with 15 dollar spool of leds
its own power supply,is with,dim
curale,is,open source
answer312,taking,simple
both,will exhibit problem with,auto-leveling
both,will exhibit,same problem
differences,are,minor
answer312,use kisslicer depending,depending part
answer312,use,kisslicer
answer312,have,original single extruder
simplify3d,has,parameter substitution
s3d start code,use of,triple wide wiper pad supplied with dual extruder v3
wipe section,be,replaced
gcode,is included in,the
gcode,is,included
answer313,so assumed,same for 6
my taz 5 i,bought,came with one
answer313,'ll likely buy,pei sheet to suit
answer313,print,models
dual extruder v3,needs,two connectors
user314,did add,cable
user314,did add cable for,second extruder
user314,are looking at,front of taz
answer314,installed,mine
instructions,seemed,pretty clear to me
your original head,update,firmware for head
replacement herringbone gears,is in,pla
answer316,ago printed,replacement herringbone gears
motor shaft,basically spin inside,small gear
small herringbone gear,was getting heat transfer during,print
these,were,abs prints
answer316,replaced,them
two nozzles,need on,dual extruder with fixed nozzles
two nozzles,be at,exactly same height above bed
two nozzles,are,close enough
dual extruder v3,is,when installed
my v3,has remained since,then
my v3,has remained,level through numerous tool head changes
head,raises at,end
spelling error,is in,our firmware
print,is,complete
user318,would mind,checking
console,is in,cura
answer319,'ve had,my taz 5
answer319,'ve printed,so much with it
my latest print,was,done
answer319,clean,bed
answer319,clean,pre heat
filament,snapped in,tube
answer319,cancel,print
everything,is,stuck
answer319,'ll post,pics
answer319,get,home tonight sudden shift
home tonight a sudden shift,is in,height
user319,manually re level,axis
user319,go from,there
fans,were,pieces
fans,were pieces of,junk
replacements,are,spendy
answer321,using,s3d
answer321,like,5-10mm ooze shield w/brim
shield,hitting,first few layers
project,stays,clean
shield,blocks,air
brim,holds ooze shield to,bed
user322,will,only will able
that,has,viable
stock fan,cool efficiently,pla
stock fan,is,powered
what did work,was backing off,tension on screw on hobble bolt
answer322,hit,sweet spot
your thermistor,is reading,below
runaway,is,triggered
thermal runaway,is triggered by,primary hotend dropping in temperature beyond threshhold set in firmware
thermistor,coming during,printing
thermistor,coming out,toolhead
failing heater cartridge,is in,worst case scenario
answer323,would suspect,something
user323,see,bad
user323,can check,resistance measurements
user323,have,access to multimeter
smaller wires,are for,thermistor
wires,read,100k ohms at room temperature
larger wires,read,20 ohms
larger red wires,are,connected
larger red wires,are connected to,heater cartridge
threshhold set,is in,firmware
thermistor,coming during,printing
thermistor,coming out,toolhead
failing heater cartridge,is in,worst case scenario
user324,take,resistance measurement
user324,take resistance measurement off,two sets of wires at toolhead harness
heater cartridge,is,bad
user324,have,access to multimeter
smaller wires,are for,thermistor
larger red wires,read,20 ohms
larger red wires,are,connected
larger red wires,are connected to,heater cartridge
answer325,could get,12 volts
answer325,replace,one
answer325,exactly looking for,lol
mini,is,24v
answer325,'m taking,gamble
fan,is,off/on
answer325,'m actually trying with,buck converter
answer325,was reading,duty cycle of about 100 %
answer325,hooked up,my meter
user325,look at,schematic
user325,measure,voltage across fan headers
user325,will get,12v
user325,get,24v
answer325,'ll do,same
that,has,interesting
user326,work on,spacing of motors
answer326,'m impressed with,lulzbot v3 setup
answer326,'m,impressed
answer327,damaged,my hotted to point
assistance,is with,your tool head
warping,is caused by,contraction of plastic
warping,is,caused
edges,lift from,plate
alcohol,clean of,oils from your hands
pei,is,clean
brim,acts as,buffer to print
something,is,easy
user329,are working at,too high of temperature
answer329,want,mention
pla,can carbonize at,temperatures over 230
nub,heating,extruder
extruder,removing,filament
error,could,could things
thing,is,air
print bed,cooling,nozzle
error,be,couple
user329,have,issues with error
user329,take resistance measurements on,your toolhead
user329,take,resistance measurements
your secondary fans,reducing,their power
heater,are,okay
jamming,does occur after,2 hrs of printing
one reply forum,indicate,cooling on upper part
cooling,is,problem
user330,first start,print
upper part,is,cool enough
time,goes on,heat creep
upper part,get,hot
user330,are having,jams with abs
user330,are using,old filament
v2,is,did
user331,are setting,flexdually extruder
anything,is with,way
gear,is set to,smaller wheel
answer331,use,my finger
my finger,see,is anything
gear,is,set
answer332,have attached,a
code,uses,more of triple wide pad
attached files,are,usable
user332,edit,start gcode
user332,replacing,lines between comments
answer333,swapped out,them
answer333,ran,my taz 3 rods
user333,are seeing,wear
uses,are,self lubricating
user333,replace,your bearings
printer,should under,should also still warranty though
answer334,'ll pick up,sd card reader
silver dot,is in,middle of connector housing
pin,give,little metal tab
thermistors,look,hoping
might,modifying,firmware
might,modifying firmware for,e3d thermistor cartridge
heat block,needs,wrench
nozzle,liquefy,filament
that,makes sense to,me
heat,travels up,break
filament,soften near,hobbed bolt
user337,have,bite mark
pla,is affected by,heat creep
pla,is,affected
user337,set up,small desk fan blowing across hotend
chrisbap,are,correct
chrisbap,are correct on,pair of screws
teeth,spot,where hobbed bolt was spinning against it
answer337,clip off,damaged part of filament
answer337,clean out,teeth
answer337,will pay,attention
answer337,will pay attention,going
answer338,apologize in,advance
much play,is in,mount
head catch,is,too small
answer338,go to,leveling process
should i pad,is with,material
bigger nozzle,reduce,print time
bigger nozzle,will allow,thicker layers
answer339,suspect/guess,that
theoretical mm nozzle,would put out,volume of .5 mm nozzle
.1.2 mm,is,just 5.76 x
speed,was for,motion system
speed,referenced by,piercet
user339,reach print speed with,knob
user339,doing,this
user339,were,able
user339,reach,suitable print speed
method,works at,least
answer339,switching to,octoprint
answer339,do have,moarstruder
answer340,slicing,model
answer340,can cause,pauses
laptop,doing,other things
problem,is in,my case
laptop,is,too busy
mini,waiting for,instructions
user340,can print via,sd card
user340,have,taz 6
user340,stay,tethered
user340,install,cura 2
user340,want,stay
user340,install,ubuntu
developers,usually work in,linux
issue,is with,free software like cura
linux versions,are,typically much more stable
answer341,experience with,tpu
https://www.thingiverse.com/thing:909901 start printing,is with,your default settings
user341,get,stringing
user341,get,blobbing
extruder,re-pressurizes,nozzle
problems,going,too slow
ringing,is,caused
ringing,is caused by,belts having
effect,is on,on print
setting,is,outer wall speed
user341,can try,10 mm/s
abs,hates,them
aerostruder,will make for,uniform parts
hexagon toolhead,has,one directional fan
user341,might consider,pva support materials
results,seem,better than limonene
watching co-workers,do,dual-prints
simplify3d,is better than,cura 2
general consensus,avoid,headaches of dual printing
extruder body,swap nozzle to,.6 mm
extruder body,swap,nozzle
user342,print,flexystruder body
path,getting sucked into,hobbed bolt
path,getting,sucked
hobbed bolt,preventing,softer filament
extruders,have,filament path tolerance
hobbed bolt,escaping,path
answer343,would expect,20 mm span
printing,is in,mid-air
expectations,be,little
your expectations,may,may little high
slight decrease,could help,just careful of poor adhesion to previous layer
slight decrease,is in,extrusion temp
filament manufacturer,within,suggested temp ranges
slic3r,setting for,wipe
slic3r,has,setting
user344,check,fuses on rambo board
answer344,have attached,photo of locations
small white fuse holders,are,little fuse omni-block fuse holders
fast,are,recommended
mr f2,supplies,motors
mr f2,supplies,power supply
f3,supplies,fan outputs
f3,supplies,logic
f4,is,15a ato
f4,supplies,heated bed output
answer345,will report,back things go
mizunoslove,thanks,responding to post
answer346,know,posting
answer346,can certainly understand,frustration
answer346,will try,check consistently
answer346,did,modification
answer346,modification to,actual extruder body
answer346,came up with,heatsink shroud design
answer346,installed,current fix
answer346,am getting benefit from,extruder body fan
answer346,am getting,benefit
answer346,have done,99 % of my printing
answer346,looked at,my head
everything,looks,fine
answer346,post,them
user346,maybe 'll see,issue
answer346,'m posting,pictures of fan mod
user347,will find,documentation about problem
user347,dig through,hexagon files on devel.lulzbot.com
aluminum heater,block,expands
expansion,puts pressure on,brass nozzle
expansion,puts,pressure
nozzle,has,has tightened
crack,grows,weak enough
failure,is,covered
answer347,recommend,you need
user347,buy,torque wrench
user347,change,nozzles
user347,buy,7 mm crowfoot
my crowfoot,will arrive at_time,tuesday
nozzle,be close to,too bed impacting material flow
nozzle,was,dirty
taz,executed,wiping
leather glove,is with,non-conducive scotch britte clean
nozzie touches,is with,this
contacts,is in,corner
answer348,using,low temp for material
heat,material on,extruder
answer348,used for,next run
answer348,did,following changes
first layer speed,raised,temp
first layer speed,increase,skirt lines
first layer speed,cut fan to,0
first layer speed,raised temp for,first 2 layers
first layer speed,cut,fan
answer348,got priming on,nozzle
answer348,prior start,printing
answer348,got,good priming
answer348,got,great print
wet bed,is with,1500-2000 grit
sand,is with,same solution
answer348,did at_time,yesterday
my machine,is,basically new
console,click,that
m115,m503,connecting to your printer
manual control,is,button labeled
user349,can send,command
t0,are,at beginning of start gcode set
t1,retracted,g1 e-15 f100
t0,is,moved
global e,moved to,e0
t1,is,selected
marlin,be,told
purging section,should,should code
purge,being beginning of,brim
purge,being,beginning
your x carriage assembly,is level to,print bed
user351,make,sure
your x carriage assembly,is,level
first,please raise,your tool head
head,is,high enough
head,do,measurement
printer,manually turn,silver couplers
user351,'ll find,them
tool head,is,mounted on to assemblies
user351,will find,2 4 mm allen head screws
user351,will need printer to,auto home
re-tighten 4 allen head screws,connected to,z nut
user351,once have,x carriage in middle of printer
z binding,is,decreased
user352,should find,directions
user352,are,focused on
answer353,recently developed twoolhead for,exact scenario
answer353,recently developed,twoolhead
duplication mode,is in,stock firmware
duplication mode,be,broken
answer353,'ve got here,versions
user353,'re using,hardware
user353,'re using hardware for,lulzbot v1
answer353,are,links
set t1,offset,help
answer354,have,m218 t0 x0 y0
dont,apply,gcode
dont,just set,them
user355,are using,that
them,gunk up,bearings
someone,did,something less than ideal like try
someone,lubricate,rods
rods,are,10 mm
answer356,hold,heater block
nozzle,only has,2 flat sides
answer356,heat up extruder from,200
answer356,heat up,extruder
user356,may cause,damage
answer356,once put on,nozzle
right,is,tight
issue,could on,could elsewhere printer
rambo,is,where located
user357,check,purple ones coming from connector for bed
user357,see,issues with components on rambo board itself
answer357,contacting,our 24/7 support team
answer358,remove,thermistor
answer358,everyone,i had
answer359,can say,same thing
my serial number,fell within,affected range
several prints,is with,dual head
several prints,using,esun pva material
my advice,check,service bulletin
https://www.lulzbot.com/content/service-bulletins,owned mini before,my taz6
https://www.lulzbot.com/content/service-bulletins,owned,mini
answer359,go,level
quality,was,good
lulzbot,also decided at,time
lulzbot,go with,entire new software platform for their free cura lulzbot edition
old software,was,much better
software developers,have,plenty
answer359,'ve submitted,few
answer359,'m expect,major version
answer359,need,do
version,doing,everything
good luck,is with,your new taz 6 printer
answer360,looked at,post
answer360,make,adjustments
nice bit,thank,you
user360,nice bit of,info
answer360,get,work
last post,has,information on heated bed portion
user,making,large scale taz for electric motorcycle
user,was,also involved
adhesion,is with,print bed
brim function,is in,your slicer software
perimeter brim,will create,better bond
better contact,is with,object
user363,create,them
timeout,is,set
timeout,is set as long to,to hour
user363,recreated,that
top surface,looks,under-extruded
infill,get,better adhesion between infill
user364,might try,increasing
infill,overlap,%
answer365,receiving unit via,rush rma
answer365,am,disappointed
answer365,receiving,new unit
heaters,with brand is,retention bracket
my brand,is with,heaters of two different lengths
anything,goes,wrong
user365,do,same boilerplate nonsense
answer365,be,beta tester for product
answer365,would encourage,anyone considering
user365,is wasted,time
time,is with,support staff
one unit,was,faulty
user365,would,would better
user365,are,masochist
user366,moving closer together,them
user366,increasing,fan speed
user366,are in,production type environment
time,find,perfect balance
carraige,stops of,my design
answer366,needed,two sets of two parts
two more sets,is with,spacing
answer366,got,drooping
answer366,see,it would help
answer366,now have,6
answer366,put ones on,ebay
answer366,may keep,ones for my own use
plastic,keep up with,print
use,is with,unloaded
user367,retract,filament
user367,'re using abs in,extruders
answer367,can upload,my s3d profile
thermistors,are,set at different depths in hot ends
thermistors,are set at,different depths
answer368,had,experience
e2,for,thermistor
answer368,check,see
painter 's tape,help,case
painter,has,tape
your first layer,is,bit
user369,may,may able
z-offset,using,m851 command
new offset,is,saved
new offset,is saved to,memory
user369,can also resurface pei for,better adhesion
user369,can also resurface,pei
use,is with,few drops of water
use,is with,printer off
temp,is reading,low
user370,see,drop
may broken wire,is in,bed cable chain
bed,is,when moved to certain positions
answer371,just finished print at,standard temps
my mini,is with,red hatchbox 1.75 mm pla
did,trick for,me
answer371,'m also using,hatchbox 1.75 mm
my issue,is with,algorithm
filament,binds completely in,large opening
filament,actually doubles over on,itself
filament,is,already sort
filament size parameter,slow down,print speed way
answer371,have had,do
support material,be,dabbed
answer371,also have turned temp down,down 180c
answer371,also have turned,temp
1 hr print,is with,slow speed
answer371,can successfully print,really small pieces
answer371,did,same
answer371,wish at,point
answer371,have,about 8 rolls go
answer371,'ll keep,hacking
answer371,'m going,try
answer371,need,tack
answer371,need tack for,perhaps piece
answer,is no to,above questions
answer371,talked to,3d printing experts in industry
industry,is divided into,2 types of printers
industry,is,divided
my life,be,easier
my life,be easier,lot
answer371,made,deal
answer373,ran,600g print
ive,done,pla/pva
biggest issue,get even,them
issue,was adjusting,z rods
user373,fight,yourself
answer373,can vouch for,feed
answer373,have,itworks version
answer373,right now just have itworks version as for,aerostruder
answer373,needed,ss hob
answer373,needed,titanium heat break
alot,needed,torn down twice now
your extruded temp,pull out,filament
extruding,is,key here
tighten,should,should tight
push,re-insert,screw
new filament,to,printing temperature
extruder 's temperature,begin,extruding
gash,can,from experience can tolerated
one,is waiting,new pei sheet arrive
answer376,done process at_time,few times now
replacement pei sheet,is in,lulzbot store
answer376,done,process
detecting switch,make,contact
detecting switch,is in,poor man 's kluge
user378,see,bad
user378,have,access to digital multimeter
user378,can check,resistance measurements
larger wires,read,20 ohms
enclosure,is,awesome
answer379,would make,sure
enclosures,are,great
enclosures,are great,you need
user379,fix/troubleshoot,something
issue,is with,my prints shifting
rambo,of,driver ics overheating
answer379,move,substantially more air
answer379,so am upgrading,80 mm fan
80 mm fan,is in,cabinet
answer379,move air over,electronics
company,called,hoffman
user379,print in,abs
fuse,was,issue
user380,can buy here,replacement
answer380,got,confuse
answer380,also expect,firmware
firmware,be,pre-installed
user381,see,bad
user381,can check,resistance measurements
user381,have,access to multimeter
wires,are for,thermistor
wires,are,connected
larger wires,read,20 ohms
wires,are connected to,heater cartridge
user381,narrow down,issue
issue,is with,hotend itself
could break,is in,your wiring
break,is intermittent,you are doing
break,is,intermittent
answer382,have read,entire manual
answer382,answer on,here
someone,did,get
manual,is redundant for,certain things
manual,is,redundant
someone,did on,youtube
answer382,refer to,guide
answer382,had,refer
computer,is,connected
user383,open control box in,cura
user383,open,control box
user383,make,updates
dual v3,is with,taz 6
issues,is with,heat creep
answer384,have,finnally after week of testing various settings have able
answer384,get through,filament pla print
answer384,turning,temp of pla
user387,set layer height to,0.5
user387,printed at,layer height
print duration,would probably same,you printed
melted filament,oozing out,nozzle
nozzle,printing,actual object
nozzle,is,primed properly
you?ll,spend,more time tweaking settings than printing
answer389,have,v2
user390,still have,same issue
measure filament diameter,is with,calipers
user390,reduce,extrusion multiplier
user390,see,helps
user390,reduce extrusion multiplier by,0.05
user391,power off,printer
e3d pt100,use,e3d paired sensor kit
user392,need,connect to your pt100
hexagon,has,old sensor connector
hexagon 's old sensor connector,reconnect to,two pins
user392,are looking at,rambo board
rambo analog extension pins,is,open
your pins.h,is in,marlin
newest marlin,set,sure
user392,use,newer tables
setup,worked for,me
answer393,came across,one
answer393,do,mine
your filament temperature,also need,increase
your setting,is on,on ooze shield
answer394,avoid,z wobble
user394,have,fitted
layer heights,divisible by,5
layer heights divisible,are,orefferable
answer394,can print,0.01 mm layer
your theoretical minimum height,is,as small
moons motors,are,very effective
moons motors,used in,6
moons motors,holding position in,even microstepping mode
moons motors,holding,position
additional precision,is,also possible
persistent corner issues,varies with,material type
control board,is,control board
firmware,uses,leadscrew steps value
user395,should,as long should fine
user395,adjust,your print profiles
user395,sourcing,set of taz 4-6 style leadscrews
3,is,capable of
endplates,will run,https://itworks3d.com/product/lulzbot-t
endplates,will run,you
looks,still has,some
your time,is in,my opinion
dramatic improvement,is in,most cases
one gray area,being,flexible fillaments
user397,'re buying,new filament
user397,want at_time,time
answer398,found out from,alephobjects
user399,possibly sand,pei surface
great,write up here on,maintenance
user400,could build,locking enclosure cabinet
user400,could open,case
that,would void,your warranty
user400,could install security camera like,arlo cam
user400,could install,security camera
user401,monitor,print
cheapo endstop,connect to,octoprint
taz6,into,motherboard
thermistor,is,kind
thermistor,is same kind,hotend uses
wires,see,one is reporting correctly
user402,have,spare hotend thermistor
thermistor readings,are,resistance based
thermristor wire,has,connection
could broken wire,is in,harness run
answer402,'m thinking like,single copper strand of cable
answer402,'ve seen,more of panel
connectors,fail than,boards
answer403,'m noticed also,same temperature difference with my modular bed
pei,produce,more accurate results
pei,taking,temp
answer403,used binder clips on,side
value range,is,0-256 so
raspberry pi 3 model b,has,built-in wi-fi
raspberry pi 3 model b,is,current version
answer405,run,octopi
user405,can print out,case
answer405,bought,logitech c270 webcam online
focus,could,could manually adjusted
printer,is with,moving bed
auto focus cameras,causes,constant
user405,blurring up,image
head,is in,z-axis
those,are,m5 bolts with thumbscrew caps
user406,may,may able
answer406,make,them myself
43829,upgrading,taz 4
answer407,can refer to,to settings
user407,modify,file marlin/configuration_lulzbot.h
user407,modify file marlin/configuration_lulzbot.h with,new marlin devel branch
user407,want,compile
actual differences,are worked out by,marlin/conditionals_lulzbot.h file
user407,can modify,configuration.h
user407,make adjustments for,your own use
user407,make,small adjustments
user407,configuration_adv.h as,before
user408,how long have had,printer
pei issue,might under,might warranty
pei,relax to,flat state
user408,'re,careful
adhesive,is in,good shape
pei sheet,can,can stuck onto existing adhesive without removal
swelling,is,called
swelling,is called,heat creep
user408,can try,things
filament,is,gripped
filament,is gripped by,hobbed bolt
idler spring,should,should compressed to about 8 mm
hotend,keeps up with,extrusion demand
user410,extrude in,mid-air
nozzle 10-100mm,try,extruding
filament,is,fed
your slicer,is,set
your slicer,is set to,right filament diameter
user410,'re printing,3 mm filament
answer411,did contact,support
answer411,swapped,motors
left side,start,failure of print
7 mm,is in,height
lag,began,leaning towards right side slightly
answer411,would have,difficulty
them,move up,z axis
x axis,be,would level
coupler,screwed,way
coupler,disconnected from,motor housing
answer411,could slide,bar
answer411,had,coupler disconnected
left screw,was,just as free
answer411,could feel,resistance
answer412,check on,those
answer412,'ll,so 'll sure
answer412,'m for,next week .5
4 setscrews,2 on,end
broken coupler,retract,wrong
user413,disassemble,hear break
user413,could use,blow torch
user413,hold,hot heatsink
user413,use pliers instead of,bare hands
user413,use,pliers
5 mm,is,abnormal amount
5 mm,is abnormal amount of,lift
user414,adjusting,bearing cups
parts,have on,hand
pei,is,long
pei,is,consumable
idler bearings,will fail after,3-4 years of heavy use
idler arm bearing,clog up with,even sealed ones
abs,can,can glued
answer415,keep,bottle of plastruct plastic weld
assembly guide documentation,is,here source
itworks3d.com,is,good
micro-adjustments,can,can made
micro-adjustments,rotating,right lead screw
micro-adjustments,rotating lead screw with,motors
answer416,nozzle to,heat block
jig,could protect,wires
jig,removing,nozzle
nozzle,has stayed at_time,past years
answer416,cross,bridge
max x-axis end,stop in addition to,z-axis probing wire connected to heater block
end,stop to,max x-axis end
max x-axis end,stop,mounting point for usable end stop
user417,turning off feature in,firmware source files
user417,turning off,feature
easier alternative,purchase end with,0.35 mm nozzle
easier alternative,terminate,new wiring
easier alternative,cut,wires
easier alternative,cut wires to,length
user418,see,c shaped section
idler arm bearing,still moves freely with,arm unlatched
layer thickness,is with,calipers
your starting layer,is,0.35 mm
any,are,thinner
user418,run,extruder calibration
user418,are still experiancing grindout on,longer prints
user418,are still experiancing,grindout
user418,particularily are getting grindouts on,pla
user418,particularily are getting,grindouts
your retraction values,is in,cura
extruder motor,is getting,hot
user418,may also want,check
user418,check for,operation of cooling fan in your control box
second connector,is fan for,control box
second connector,is,fan
answer419,reference,actual taz5 designs
pins,are,where connected in stock taz5
answer420,had,similar problems
answer420,had problems with,my taz6
answer420,found,more
cura firmware,averaging,planes
firmware,create,plane
cura firmware,was using,4 calibration points
answer420,going back and forth with,support
answer420,was sent,new aluminum plate
full bed calibration print,using,pla
answer420,could print,full bed calibration print
answer420,applied glue stick to,bed
newest firmware,uses,calibration algorithm
produces,better calibration for,me
answer420,printed bed calibration print without,glue stick
minor issues,is in,corners
answer420,be,able
answer420,get,3 calibration prints
them,clip corners,keep
them,clip,corners
standoffs,increase,washer height
mine,are,brass standoffs for pcb mounting
whole mess,is held down with,couple binder clips
answer421,ordered,one
that,is,correct
user421,bump,bed heat
user421,set,printer
surface temp,be,will little lower
start,low up,your way
user421,can weld print to,surface
user421,can weld,print
print,is,when little stuck
answer422,found,my left threaded rod
user422,can turn easily,rods
user422,can turn rods easily by,hand
user422,have found,resolution
that,looks like,insufficient cooling to me
nozzle,hits,layer
answer423,add,just touch more cooling fan atleast
user423,are printing,overhang
user423,wiggle,z-axis leadscrews
answer423,had,issue
fix,edit,firmware
fix,edit firmware with,voltages
user424,take,advantage
other option,installing,them
using,those for,reason
answer425,'ll reserve,holes
answer425,hooking pi at_time,weekend
answer425,hooking,pi
answer425,hooking pi up,up it
v3,is in,works
one,is,actually extinct product
aerostruder tool,heads,work
aerostruder tool,heads work,we chose
answer427,maybe could tweak,end2 gcode
y,extrude,t1 10 mm
answer427,cut,end
answer427,remove,filament
v3 dual extruder,is,capable
v3 dual extruder,printing,flexible materials
tuned,profiles for,optimal cosmetic results
printing,is,recommended
answer429,sort out,auto leveling issue
1 mm hop,is in,attempt move out way
answer429,going back to,single extruder
answer429,have attached,image of latest print
second nozzle,is making,contact with print volume
warping,recommended,settings
such simple print,is with,lulzbots
considerable warping,recommended settings for,pla
is,'m,exactly why terribly upset
time,return,30 days
answer429,selling,my dual v2
answer429,'m,keen
mini,learn,little more about dual head printing
answer431,found,problem
your other option,glue back,tube
artic silver,makes,good one
answer433,have,problem like this
probe,tries,rewipe
probe,going to,front two corners
bed,instead drives down,tool head
bed,instead drives tool head down on,back left corner of heat bed
user434,using,taz 5
moarstruder,is,compatible
moarstruder,is compatible as,note
moarstruder,is,as note compatible with taz 5
user436,can find here,source files for flexdually v2
answer437,was,too jealous
answer437,too was jealous of,prusa prime method
user437,doing,new print
line,works,awesome thanks for sharing
user438,get,factory equivalent strength
user438,get factory strength in,parts
printing,is with,abs
support,maybe could post,one
gcode file,sliced for,mini
gcode files,is in,text editor see for yourself layer height
user439,are running,stock nozzle
answer439,checked at_time,today
answer439,do have,gap
answer439,removed nozzle at_time,today
answer439,inserted piece with,everything loose
answer439,inserted,piece
answer439,snugged down,mounting bolts for hot end
bolts,opened,idler clamp
hexagon end,is,sized
my issue,is,heat creep
hexagon hot end,is,how over sized to filament
itworks3d,has,https://www.thingiverse.com/thing:1878514
answer439,printed,taz 5 40 mm fan shroud
answer439,can test out,changes
answer439,will,will monday
user441,save,color
user441,save color as,stl files
part,is with,depression for lettering
main part group,outside text is,group
print,printing,temp
print,sticks harder to,pei
user442,have,problems
your z end,stop,counter clockwise
quarter,turn,lessen
first layer,squish,bit
test prints,stop settings at,different z
test prints,stop,settings
user442,run,test prints
answer443,do really appreciate,time
piercet,thanks for,lengthy reply
fri nov 03 2017 2:21,am,ok
lulzbot profiles,are designed for,brand new printer users
lulzbot profiles,are,designed
first layer overextrusion,extrude,something
answer443,as soon noticed,elephant foot
answer443,had hoped to,prototype with technology
sides,rotated,180 degrees
answer443,once solved,nozzle size issue
answer443,quickly noticed elephant foot after,my next attempted print
answer443,discovered,first layer flow rate factory setting of 110 %
issue,see below,image
answer443,try,adjust as above
answer443,tried anywhere from,90 % first layer flow rate
z-index offsets,point,is
z-index offsets,point to,all
answer443,mention,that in my first post
uneven bed washer spacers,can also sometimes do,2
user443,can get,extrusions right left
bearing rods,are,unsupported
than middle,is in,z axis
rails,are thicker than,than 5
x axis load,is,point source load
extrusions,to printer is,etc.
my understanding,is in,relation to point 1
flex,push bed up,up washers
4 washers,are of,same thickness
answer443,will do at_time,evening
rest,is,seemingly irrelevant
left/right issue,is,compounded
layer issue,is,diagonal
your idler tension bolts,are,tight enough
